Datum	Thema	ThemaLink	Bereich	Datenstand
09.04.2019	Energie	https://www.statistik.bs.ch/dam/jcr:8c096bf7-fedc-47e0-b068-0adda6dcc533/t08-1-01.xlsx	Monatlicher Energieverbrauch	Feb 2019
09.04.2019	Raum, Landschaft, Umwelt	https://www.statistik.bs.ch/dam/jcr:cae71f80-7874-4512-911c-371b1fc1e061/t02-4-02.xlsx	Monatlicher Wasserverbrauch	Feb 2019
08.04.2019	Erwerbsleben	https://www.statistik.bs.ch/dam/jcr:a72421aa-3eec-4d29-9357-56b1e6883301/t03-5-20.xlsx	Ausländische Erwerbsbevölkerung	2017
08.04.2019	Verkehr	https://www.statistik.bs.ch/zahlen/tabellen/11-verkehr-mobilitaet/pendler.html	Pendler	2017
05.04.2019	Unternehmen	https://www.statistik.bs.ch/zahlen/tabellen/6-produktion-handel/neugruendungen.html	Neugründungen	2016
04.04.2019	Rechtspflege	https://www.statistik.bs.ch/dam/jcr:831f9c03-e3a6-4f72-83da-6c484785fdc0/t19-4-01.xlsx	Rechtsmedizinische Untersuchungen	2018
02.04.2019	Teuerung, Preise	https://www.statistik.bs.ch/zahlen/tabellen/5-preise.html	Basler Index	Mrz 2019
01.04.2019	Mobilität und Verkehr	https://www.statistik.bs.ch/zahlen/tabellen/11-verkehr-mobilitaet/motorfahrzeuge.html	Strassenverkehr	Mrz 2019
01.04.2019	Raum, Landschaft, Umwelt	https://www.statistik.bs.ch/dam/jcr:1b073420-95c3-4847-b49e-664fd1248fb9/t02-3-02.xlsx	Witterungserscheinungen	Mrz 2019
01.04.2019	Mobilität und Verkehr	https://www.statistik.bs.ch/zahlen/tabellen/11-verkehr-mobilitaet/luftverkehr.html	Luftverkehr	Feb 2019
01.04.2019	Mobilität und Verkehr	https://www.statistik.bs.ch/zahlen/tabellen/11-verkehr-mobilitaet/rheinhaefen.html	Schiffsgüterverkehr	Feb 2019
28.03.2019	Rechtspflege	https://www.statistik.bs.ch/zahlen/tabellen/19-rechtspflege.html	Straftaten, Beschuldigte und Geschädigte	2018
27.03.2019	Öffentliche Finanzen	https://www.statistik.bs.ch/zahlen/tabellen/18-oeffentliche-finanzen/steuern.html	Einkommens- und Vermögenssteuern	2016
27.03.2019	Unternehmen	https://www.statistik.bs.ch/zahlen/tabellen/6-produktion-handel/neugruendungen.html	Konkurse und Betreibungen	2018
27.03.2019	Aussenhandel	https://www.statistik.bs.ch/zahlen/tabellen/6-industrie-dienstleistungen/aussenhandel.html	Warenwert und Gewicht der Importe und Exporte	Feb 2019 
26.03.2019	Tourismus	https://www.statistik.bs.ch/zahlen/tabellen/10-tourismus.html	Logiernächte	Feb 2019
25.03.2019	Bevölkerung	https://www.statistik.bs.ch/zahlen/tabellen/1-bevoelkerung/bestand-struktur.html	Bestand und Struktur	Feb 2019
22.03.2019	Erwerb	https://www.statistik.bs.ch/zahlen/tabellen/3-arbeit-erwerb/erwerb.html	Erwerbspersonen	2017
21.03.2019	Bildung, Wissenschaft	https://www.statistik.bs.ch/zahlen/tabellen/15-bildung-wissenschaft/bildungsniveau.html	Ausbildungsniveau	2017
20.03.2019	Bevölkerung	https://www.statistik.bs.ch/zahlen/tabellen/1-bevoelkerung/religionszugehoerigkeit.html	Religionszugehörigkeit	2017
19.03.2019	Bevölkerung	https://www.statistik.bs.ch/zahlen/tabellen/1-bevoelkerung/sprachen.html	Sprachen	2017
13.03.2019	Raum, Landschaft, Umwelt	https://www.statistik.bs.ch/dam/jcr:8c096bf7-fedc-47e0-b068-0adda6dcc533/t08-1-01.xlsx	Energieverbrauch	Jan 2019
07.03.2019	Erwerbsleben	https://www.statistik.bs.ch/zahlen/tabellen/5-preise.html	Arbeitslosigkeit	Feb 2019
06.03.2019	Raum, Landschaft, Umwelt	https://www.statistik.bs.ch/zahlen/tabellen/2-raum-landschaft-umwelt.html	Witterungsdaten	Feb 2019
05.03.2019	Teuerung, Preise	https://www.statistik.bs.ch/zahlen/tabellen/5-preise.html	Basler Index	Feb 2019
05.03.2019	Erwerbsleben	https://www.statistik.bs.ch/dam/jcr:f5d771fa-6a6c-4080-bc16-76ca61a38361/t03-2-11.xlsx	Beschäftigte	Q4 2018
